nav-link href,listing-location,price,bed,bath,listing-floorarea,listing-floorarea 2
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-aquamarine-oleh-vonni-21410668,"Gading Serpong, Tangerang Selatan, Banten","6,9 M",5,5,420 m²,Rp 20.720.721 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-alexandrite-oleh-vonni-21427584,"Gading Serpong, Tangerang Selatan, Banten","4,5 M",3,3,190 m²,Rp 12.747.875 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-vivaldi-oleh-vonni-21427802,"Gading Serpong, Tangerang Selatan, Banten","3,95 M",3,3,132 m²,Rp 30.859.375 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-starling-oleh-vonni-21428329,"Gading Serpong, Tangerang Selatan, Banten","3,3 M",4,3,220 m²,Rp 18.333.333 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-newton-oleh-vonni-21428706,"Gading Serpong, Tangerang Selatan, Banten","3,5 M",3,2,180 m²,Rp 27.777.778 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-di-bsd-city-oleh-vonni-21433154,"Gading Serpong, Tangerang Selatan, Banten","4,5 M",5,4,194 m²,Rp 18.672.199 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-fiordini-oleh-vonni-21433439,"Gading Serpong, Tangerang Selatan, Banten","4,5 M",4,3,160 m²,Rp 16.544.118 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-alexandrite-oleh-vonni-21433524,"Gading Serpong, Tangerang Selatan, Banten","4,5 M",3,3,190 m²,Rp 12.747.875 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-chaceldony-oleh-vonni-21428752,"Gading Serpong, Tangerang Selatan, Banten","4,5 M",3,3,120 m²,Rp 14.062.500 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-naturale-foresta-oleh-vonni-21396610,"BSD, Tangerang Selatan, Banten","2,2 M",5,4,140 m²,Rp 19.642.857 per m²
https://www.rumah.com/listing-properti/dijual-aria-rempoa-oleh-erick-malko-21458462,"Jalan cempaka, Bintaro, Tangerang Selatan, Banten","2,732 M",4,3,112 m²,Rp 28.757.895 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-cluster-darwin-oleh-vonni-21393544,"Gading Serpong, Tangerang Selatan, Banten","3,1 M",5,3,200 m²,Rp 19.135.802 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumh-sekto-7c-oleh-vonni-21390006,"Gading Serpong, Tangerang Selatan, Banten","2,5 M",4,4,150 m²,Rp 16.233.766 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-alam-sutera-oleh-vonni-21387728,"Alam Sutera, Tangerang Selatan, Banten","4,7 M",4,4,400 m²,Rp 23.500.000 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-cluster-edison-oleh-vonni-21389795,"Gading Serpong, Tangerang Selatan, Banten","2,35 M",5,4,128 m²,Rp 19.583.333 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-cluster-edision-oleh-vonni-21427848,"Gading Serpong, Tangerang Selatan, Banten","2,5 M",4,3,128 m²,Rp 20.833.333 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-kencana-loka-bsd-oleh-vonni-21387664,"BSD, Tangerang Selatan, Banten","2,4 M",3,2,100 m²,Rp 12.000.000 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepet-cluster-flaminggo-oleh-vonni-21373400,"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten","3,25 M",3,3,160 m²,Rp 25.390.625 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dijual-bagus-dua-lantai-di-graha-raya-bintaro-oleh-amalia-21826337,"Bintaro, Tangerang Selatan, Banten","1,9 M",3,2,150 m²,Rp 16.101.695 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-sektor-8b-oleh-vonni-21371590,"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",950 jt,2,1,60 m²,Rp 10.555.556 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-sektor-8b-oleh-vonni-21371590,"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",950 jt,2,1,60 m²,Rp 10.555.556 per m²
https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-di-sektor-gading-serpong-oleh-vonni-21369130,"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",875 jt,2,1,36 m²,Rp 12.152.778 per m²
https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-cluster-verdi-oleh-vonni-21366174,"Jl Gading Sektor, Gading Serpong, Tangerang Selatan, Banten",2 M,3,2,100 m²,Rp 27.777.778 per m²
https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-cluster-turquoise-oleh-vonni-21382856,"Gading Serpong, Tangerang Selatan, Banten","2,5 M",4,2,135 m²,Rp 19.841.270 per m²
